Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Organization),Founded Date,Founded Date Precision,Website,Contact Email,Number of Articles,Number of Employees,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Type,IPO Date,IPO Status,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,IPqwery - Patents Granted
Aujas Networks,https://www.crunchbase.com/organization/aujas-networks,"Cloud Security, Information Technology, Security","Bangalore, Karnataka, India","Aujas Networks offers security solutions and services in the areas of security vulnerability, CMS, and identity and access management.","22,336",2008-01-01,year,http://www.aujas.com,,24,501-1000,2013-11-27,5400000,USD,5400000,11000000,USD,11000000,Series B,,Private,,,,,,
SiteLock,https://www.crunchbase.com/organization/site-lock,"Online Portals, Security, Web Browsers","Scottsdale, Arizona, United States",Site Lock is a security software company provides malware removal and scanning for website security.,"22,385",2008-01-01,year,http://www.sitelock.com,rlawson@sitelock.com,4,101-250,2014-02-20,500000,USD,500000,500000,USD,500000,Debt Financing,,Private,,,,,,2
Cobalt,https://www.crunchbase.com/organization/cobalt-2,"Cloud Computing, Enterprise Software, Information Technology, Mobile, SaaS, Security","Montréal, Quebec, Canada",Collaborative App That Keep Businesses and Communities Safe,"23,460",2008-02-05,day,http://e-cobalt.com,info@e-cobalt.com,4,11-50,2019-04-04,1000000,USD,1000000,1000000,USD,1000000,Seed,,Private,,,,,,
KEYW Corporation,https://www.crunchbase.com/organization/keyw-corporation,"Aerospace, National Security, Security","Hanover, Maryland, United States","KEYW Corporation provides tailored, mission-centric and customer-focused solutions to overcome barriers in cyberspace and geospace.","26,041",2008-01-01,year,http://keywcorp.com,info@keywcorp.com,3,1001-5000,2010-03-30,8000000,USD,8000000,28340149,USD,28340149,Venture - Series Unknown,2010-10-01,Public,91000000,USD,91000000,KEYW,https://www.crunchbase.com/ipo/keyw-corporation-ipo--8319801e,8
Lucibel,https://www.crunchbase.com/organization/lucibel,"Industrial, Lighting, Manufacturing, Network Security","Rueil-malmaison, Ile-de-France, France","French specialist in LED lighting, Lucibel designs, manufactures and markets solutions based on LED technology","27,514",2008-01-01,year,http://www.lucibel.com,contact@lucibel.com,12,51-100,2018-07-18,2480000,EUR,2888090,39961000,EUR,50305001,Post-IPO Equity,2014-07-15,Public,17100000,EUR,23201761,ALUCI,https://www.crunchbase.com/ipo/lucibel-ipo--e371a1a0,
RedShield Security,https://www.crunchbase.com/organization/redshield-security,"Computer, Security","Wellington, Wellington, New Zealand",Leading web-application protection specialist,"30,134",2008-01-01,year,https://www.redshield.co/,SALES@REDSHIELD.CO,,11-50,2016-12-23,6200000,NZD,4263741,6200000,NZD,4263741,Series A,,Private,,,,,,0
Lockbox,https://www.crunchbase.com/organization/lockbox,"Business Intelligence, Information Services, Security","South Yarra, Victoria, Australia","Lockbox provides cloud encryption services for businesses to exchange confidential, private, and sensitive information.","32,346",2008-08-13,day,http://www.lock-box.com,info@lock-box.net,5,1-10,2013-08-20,2500000,USD,2500000,2500000,USD,2500000,Seed,,Private,,,,,,
Advanced TeleSensors,https://www.crunchbase.com/organization/advanced-telesensors,"Fitness, Health Care, Security","Austin, Texas, United States","Advanced TeleSensors offers Sleep Tyte, a video monitoring system for parents to view their baby’s physical condition via smartphones.","33,662",2008-01-01,year,http://www.advancedtelesensors.com,info@advancedtelesensors.com,1,1-10,2018-07-11,2789793,USD,2789793,3039793,USD,3039793,Series A,,Private,,,,,,
Flexera,https://www.crunchbase.com/organization/flexera-software,"Apps, Enterprise, Information Technology, Security, Software","Itasca, Illinois, United States",Flexera Software helps application producers and enterprises increase application usage and the value they derive from their software.,"35,229",2008-04-01,day,https://www.flexera.com/,,108,501-1000,2017-12-19,,,,,,,Private Equity,,Private,,,,,,
inWebo Technologies,https://www.crunchbase.com/organization/inwebo-technologies,"Identity Management, Security","Paris, Ile-de-France, France",inWebo is a vendor of user multi-factor authentication. We proudly protects millions of identities for global organizations.,"35,974",2008-04-01,day,http://www.inwebo.com,contact@inwebo.com,,11-50,2014-06-20,450000,EUR,611944,1850000,EUR,2503329,Seed,,Private,,,,,,1
StopTheHacker,https://www.crunchbase.com/organization/stopthehacker,"Cyber Security, Information Technology, Security","Burlingame, California, United States",StopTheHacker is a technology startup specializing in malware detection and web security solutions.,"37,354",2008-01-01,year,http://www.stopthehacker.com,support@stopthehacker.com,20,11-50,2012-02-13,1100000,USD,1100000,1100000,USD,1100000,Series A,,Private,,,,,,0
LimeLight CRM,https://www.crunchbase.com/organization/salt-payments-inc,"Billing, Developer APIs, Direct Marketing, E-Commerce Platforms, Fraud Detection, Payments, Subscription Service","San Francisco, California, United States",LimeLight is the one-stop shop eCommerce engine to manage and automate your recurring billing and customer lifecycle.,"43,046",2008-01-01,year,https://www.getlimelight.com/,,6,51-100,,,,,,,,,,Private,,,,,,0
Victrio,https://www.crunchbase.com/organization/victrio,"Cyber Security, Enterprise Software, Fraud Detection, Mobile, Security, Software","Mountain View, California, United States","Victrio provides software that secures enterprises against fraud attacks that are originated, progressed or completed on the phone.","44,477",2008-01-01,year,http://www.victrio.com,info@victrio.com,7,1001-5000,2010-12-14,5000000,USD,5000000,5000000,USD,5000000,Series A,,Private,,,,,,
Rook Security,https://www.crunchbase.com/organization/rook-security,"Business Intelligence, Cloud Security, Consulting, Cyber Security, Network Security, Penetration Testing, Risk Management, Security","Indianapolis, Indiana, United States","Rook Security provides technology-enabled services to anticipate, manage and eliminate cyber threats.","46,598",2008-04-16,day,http://www.rooksecurity.com,info@rooksecurity.com,79,51-100,,,,,,,,,,Private,,,,,,0
Edicia,https://www.crunchbase.com/organization/edicia,"Information Technology, Logistics, Public Safety, Security, Software","Carquefou, Pays de la Loire, France",Edicia develops an online platform that specializes in public security.,"49,549",2008-01-01,year,http://edicia.fr,commercial@edicia.fr,,11-50,2013-11-11,1500000,EUR,2011106,1500000,EUR,2011106,Series A,,Private,,,,,,0
Bering Media,https://www.crunchbase.com/organization/bering-media,"Advertising, Internet, Marketing, Privacy, Telecommunications","Toronto, Ontario, Canada",Bering Media is the leading audience network for broadband Internet service providers and mobile network operators.,"49,768",2008-01-01,year,http://www.beringmedia.com,info@beringmedia.com,,11-50,2011-08-30,4000000,USD,4000000,7500000,USD,7500000,Series B,,Private,,,,,,
ExactTrak,https://www.crunchbase.com/organization/exacttrak,"Cyber Security, Intrusion Detection, Security","Warmington, Warwickshire, United Kingdom","ExactTrak supplies embedded technology that protects data and devices, giving the user visibility and control over turned off devices.","50,036",2008-11-30,day,http://www.exacttrak.com,info@exacttrak.com,8,11-50,2018-04-25,,,,2319013,USD,2319013,Non-equity Assistance,,Private,,,,,,3
MIRACL,https://www.crunchbase.com/organization/miracl,"Identity Management, Security","London, England, United Kingdom",Miracl enables security solution and managed service providers to meet strong authentication needs of businesses in regulated industries.,"51,446",2008-01-01,year,https://www.miracl.com,sales@miracl.com,,11-50,2010-06-14,200000,GBP,294995,200000,GBP,294995,Seed,,Private,,,,,,6
myeasydocs,https://www.crunchbase.com/organization/myeasydocs,"Cyber Security, Document Management, Fraud Detection, Information Technology, Privacy, Security, Software","Chennai, Tamil Nadu, India","Tharakan Web Innovations Private Limited “TWI” has premiered myeasydocs.com,","52,005",2008-01-01,year,https://myeasydocs.com,tharakan@myeasydocs.com,1,1-10,2014-09-24,1000000,USD,1000000,1000000,USD,1000000,Seed,,Private,,,,,,
Pitchengine,https://www.crunchbase.com/organization/pitchengine,"Network Security, Public Relations, Search Engine, SEO, Small and Medium Businesses, Social Media, Software","Riverton, Wyoming, United States","PitchEngine is a social platform that enables businesses to create content to share via social networks, search engines and mobile devices.","55,260",2008-08-01,day,http://pitchengine.com,,13,1-10,2011-09-27,460154,USD,460154,460154,USD,460154,Seed,,Private,,,,,,
Ksplice,https://www.crunchbase.com/organization/ksplice,"Enterprise Software, Information Technology, Security, Software, Web Hosting","Cambridge, Massachusetts, United States","Ksplice an enterprise software company, provides rebootless Linux distribution solutions for hosting service providers.","59,128",2008-07-01,day,http://www.ksplice.com,ksplice-support_ww@oracle.com,21,11-50,2010-10-21,100000,USD,100000,100000,USD,100000,Seed,,Private,,,,,,
AxesNetwork,https://www.crunchbase.com/organization/axesnetwork,"Cloud Computing, Cloud Storage, CRM, Information Technology, Security, Software","Quebec, Quebec, Canada",AxesNetwork develops payment and security management solutions for casinos and their customers.,"63,641",2008-01-01,year,http://axesnetwork.com,sales@AxesNetwork.com,,11-50,2013-06-13,1000000,USD,1000000,1000000,USD,1000000,Seed,,Private,,,,,,0
Immunet Corporation,https://www.crunchbase.com/organization/immunet-corporation,"Cloud Computing, Security, Software","Palo Alto, California, United States","Immunet offers free community-based antivirus software to protect against threats, and uses community awareness for intelligent protection.","66,741",2008-01-01,year,http://www.immunet.com,oliver@immunet.com,,501-1000,2009-11-01,2000000,USD,2000000,2000000,USD,2000000,Series A,,Private,,,,,,
InnerApps,https://www.crunchbase.com/organization/innerapps,"Computer, Identity Management, Software","Perrysburg, Ohio, United States",InnerApps is a Microsoft focused software company founded in 2008 and based in Perrysburg Ohio.,"67,471",2008-01-01,year,http://www.idsync.com/,info@idsync.com,,11-50,2016-01-01,750000,USD,750000,750000,USD,750000,Series A,,Private,,,,,,0
ACE Security,https://www.crunchbase.com/organization/company-com,"Lead Generation, Network Security, Social Media","Ilford, Redbridge, United Kingdom",Ace Security in london can assist make your commercial enterprise or event that much more at ease.,"67,643",2008-01-01,year,http://www.ace-security.co.uk,info@ace-security.co.uk,5,51-100,2010-07-30,3625000,USD,3625000,5665000,USD,5665000,Series A,,Private,,,,,,
eVigilo,https://www.crunchbase.com/organization/evigilo,"Messaging, Public Safety, Security","London, England, United Kingdom",eVigilo is a security company that develops and distributes national mass notification systems.,"68,344",2008-01-01,year,http://www.evigilo.net,info@evigilo.net,,11-50,2013-10-17,350000,USD,350000,3350000,USD,3350000,Series B,,Private,,,,,,
Guardian 8 Holdings,https://www.crunchbase.com/organization/guardian-8-holdings,"Developer Platform, Manufacturing, Security","Scottsdale, Arizona, United States",Guardian 8 Holdings is a startup developing and manufacturing personal security devices.,"68,786",2008-01-01,year,http://guardian8.com,sales@guardian8.com,1,11-50,2015-06-08,625000,USD,625000,8194500,USD,8194500,Convertible Note,2011-10-14,Delisted,,,,GRDH,https://www.crunchbase.com/ipo/guardian-8-holdings-ipo--f0f8f571,0
Civolution,https://www.crunchbase.com/organization/civolution,"Apps, Information Technology, Security","Eindhoven, Noord-Brabant, The Netherlands","Civolution offers digital watermarking and fingerprinting tech apps to identify, manage and monetize audio and video media content.","69,480",2008-10-20,day,http://civolution.com,info@civolution.com,10,1-10,2009-07-21,20000000,USD,20000000,20000000,USD,20000000,Series A,,Private,,,,,,20
NATION Technologies,https://www.crunchbase.com/organization/nation-technologies,"Cyber Security, SaaS, Security","Lake Mary, Florida, United States","NATION Technologies provides digital information and data protection services for individuals, companies, and IT systems.","70,759",2008-12-01,day,http://www.nationtechnologies.com,info@nationtechnologies.com,,11-50,2010-12-30,23630,USD,23630,23630,USD,23630,Seed,,Private,,,,,,0
Re:sure,https://www.crunchbase.com/organization/re-sure,"Apps, Cloud Security, Security","Dublin, Dublin, Ireland",Intelligent Protection Of your home.,"71,370",2008-01-01,year,http://resure.co/,info@resure.co,,11-50,2015-08-12,250000,EUR,278926,250000,EUR,278926,Seed,,Private,,,,,,
"NuData Security, a Mastercard company",https://www.crunchbase.com/organization/nudata-security,"Cyber Security, Enterprise Software, Fraud Detection, Internet","Vancouver, British Columbia, Canada",NuData Security positively verifies users online through real-time passive biometrics and behavioral analytics.,"73,969",2008-01-01,year,https://nudatasecurity.com/,bizdev@nudatasecurity.com,55,51-100,,,,,,,,,,Private,,,,,,
Delfigo Security,https://www.crunchbase.com/organization/delfigo-security,"Fraud Detection, Mobile, Security","Boston, Massachusetts, United States",Delfigo’s DSGateway solution provides on-premise authentication solutions to reduce identity theft and fraud at businesses premises.,"79,338",2008-07-28,day,http://www.delfigosecurity.com,info@delfigosecurity.com,3,11-50,2011-02-15,100000,USD,100000,1600000,USD,1600000,Seed,,Private,,,,,,
Govtoday,https://www.crunchbase.com/organization/govtoday,"Advertising, Health Care, Network Security","Manchester, Manchester, United Kingdom",GovToday is a digital media platform dedicated to delivering the latest public sector and government news in the U.K.,"83,083",2008-01-01,year,http://govtoday.co.uk,info@govtoday.co.uk,,51-100,2014-06-02,500000,GBP,837299,1200000,GBP,1963408,Seed,,Private,,,,,,
Ghostery,https://www.crunchbase.com/organization/ghostery,"Analytics, Cloud Management, Internet, Privacy","New York, New York, United States","Ghostery, a browser add-on, identifies data-trackers on any site and enables users to block any tracker, enhancing load speeds and privacy.","83,096",2008-12-19,day,https://www.ghostery.com/en/,info@ghostery.com,307,51-100,,,,,,,,,,Private,,,,,,0
Entersekt,https://www.crunchbase.com/organization/entersekt,"Apps, Finance, FinTech, Mobile, Mobile Payments, Security, Software","Stellenbosch, NA - South Africa, South Africa",Innovator in mobile identity and payments enablement,"85,189",2008-01-01,year,https://www.entersekt.com,info@entersekt.com,133,101-250,2017-08-31,,,,,,,Series C,,Private,,,,,,0
Passpack,https://www.crunchbase.com/organization/passpack,"Identity Management, Privacy, Security","Rome, Lazio, Italy",Passpack offers an online password manager that allows individuals and teams to store and share their passwords via a single interface.,"88,253",2008-01-01,year,http://www.passpack.com,info@passpack.com,16,1-10,2009-07-01,74000,EUR,104732,498000,EUR,764922,Angel,,Private,,,,,,
ArcTouch,https://www.crunchbase.com/organization/arctouch,"Android, Apps, Augmented Reality, Blockchain, Enterprise Software, Internet of Things, iOS, Mobile, Smart Home, Wearables","San Francisco, California, United States","ArcTouch designs and develops software that powers the connected world - custom apps, bots, voice skills, DApps and blockchain solutions.","89,909",2008-01-01,year,https://arctouch.com,info@arctouch.com,13,101-250,,,,,,,,,,Private,,,,,,0
Onformonics,https://www.crunchbase.com/organization/onformonics,"Cyber Security, Information Technology, SaaS, Security, Software","Esch-sur-alzette, Luxembourg, Luxembourg",Onformonics innovates risk-based streamlined products and services to solve data breach problems.,"90,754",2008-04-01,day,http://www.onformonics.com,ella.alcasas@onformonics.com,,11-50,2010-02-26,600000,EUR,817339,1200000,EUR,1703225,Seed,,Private,,,,,,
Zebra Digital Assets,https://www.crunchbase.com/organization/zebra-digital-assets,"Enterprise Software, Information Technology, Security","Sandy, Utah, United States",Zebra Digital Assets employs encryption and key management architectures to facilitate the safe exchange of an organization's data.,"93,307",2008-01-01,year,http://www.zebrada.com,,,11-50,2012-06-20,200002,USD,200002,200002,USD,200002,Seed,,Private,,,,,,
PasswordBank,https://www.crunchbase.com/organization/passwordbank,"Identity Management, Privacy, Security","Paris, Ile-de-France, France",PasswordBank provides an IDaaS-based platform helping users store passwords and user IDs of websites and apps.,"96,727",2008-01-01,year,,,4,,2009-07-01,2500000,USD,2500000,3500000,USD,3500000,Series A,,Private,,,,,,
Premiere Digital Services,https://www.crunchbase.com/organization/premiere-digital-services,"Cyber Security, Enterprise Software, Film","Los Angeles, California, United States","Premiere, a cloud-based platform, provides users with tools they need to process, package and deliver digital content.","101,883",2008-09-01,day,http://www.premieredigital.net,info@premieredigital.net,,101-250,2017-10-23,,,,,,,Private Equity,,Private,,,,,,1
Pandastream,https://www.crunchbase.com/organization/pandastream,"Cyber Security, Open Source, Video Streaming","London, England, United Kingdom",Pandastream is an open source video encoding solution.,"102,736",2008-01-01,year,,,,,,,,,,,,,,Private,,,,,,
Entrustet,https://www.crunchbase.com/organization/entrustet,"Enterprise Software, File Sharing, Security","Madison, Wisconsin, United States","Entrustet is a tool that brings together people, estate planning lawyers, and companies that provide online accounts and memberships.","103,252",2008-11-01,day,http://www.entrustet.com,info@entrustet.om,16,1-10,2010-12-02,40000,USD,40000,40000,USD,40000,Seed,,Private,,,,,,
Advanced Virtual,https://www.crunchbase.com/organization/advanced-virtual,"Artificial Intelligence, Augmented Reality, Big Data, Blockchain, FinTech, IaaS, Intelligent Systems, Internet of Things, Machine Learning, Natural Language Processing, Operating Systems, PaaS, Predictive Analytics, Robotics, SaaS, Virtual Reality","Cork, Cork, Ireland","Artificial Intelligence, ML, DL, Operating System, Personal Supercomputers, Virtual Reality, Augmented Reality, Big Data, IoT, Blockchain","105,732",2008-01-01,year,https://advancedvirtual.co,info@advancedvirtual.co,,11-50,2018-05-23,,,,,,,Series A,,Private,,,,,,
Seguricel,https://www.crunchbase.com/organization/seguricel,"Communities, Security","Caracas, NA - Venezuela, Venezuela",Telematica CA Seguricel bring peace to you and your family control systems dial.,"121,138",2008-01-01,year,http://www.seguricel.com/,,,,2013-09-01,323219,EUR,426973,477056,USD,477056,Seed,,Private,,,,,,
Leidos Cyber,https://www.crunchbase.com/organization/leidos-cyber,"Computer, Cyber Security, Network Security","Boxborough, Massachusetts, United States","Leidos Cyber, the commercial cybersecurity arm.","121,154",2008-01-01,year,https://cyber.leidos.com/,cyber.security@leidos.com,,,,,,,,,,,,Private,,,,,,
Cocoon,https://www.crunchbase.com/organization/virtual-world-computing,"SaaS, Search Engine, Security, Software","Santa Barbara, California, United States",Cocoon Internet Privacy/Security/Search Engine,"123,330",2008-01-01,year,http://www.getcocoon.com,info@getcocoon.com,4,11-50,2019-01-01,,,,,,,Seed,,Private,,,,,,
XMedius,https://www.crunchbase.com/organization/sagemcom-canada,"Information Technology, Security, Software",,XMedius is a global provider of enterprise-grade solutions for Secure Document Exchange.,"127,678",2008-01-01,year,https://www.xmedius.com/en/,info@xmedius.com,1,1001-5000,,,,,,,,,,Private,,,,,,
Digidentity,https://www.crunchbase.com/organization/digidentity,"CRM, Cyber Security, Identity Management, Information Technology, Robotics, Security, Software","The Hague, Zuid-Holland, The Netherlands","Identity, Verification, Authentication and Security","130,236",2008-01-01,year,http://www.digidentity.eu,info@digidentity.eu,,51-100,2010-12-28,,,,,,,Undisclosed,,Private,,,,,,0
9mobile,https://www.crunchbase.com/organization/9mobile,"Network Security, Telecommunications","Ikoyi, Lagos, Nigeria","9mobile enables EMTS provide Fixed Telephony (wired or wireless), Digital Mobile Services, International Gateway Services.","132,816",2008-01-01,year,http://9mobile.com.ng/,care@9mobile.com.ng,5,,,,,,,,,,,Private,,,,,,
Get10,https://www.crunchbase.com/organization/get10,"Advertising, Identity Management, Local, Loyalty Programs, Publishing, Retail, SEO, Social Media","Centennial, Colorado, United States",Get10 develops CRM methods that provide consumers access to perks and rewards in deals sites.,"133,082",2008-03-10,day,http://www.Get10.com,Info@Get10.com,1,1-10,2011-09-15,285000,USD,285000,285000,USD,285000,Series A,,Private,,,,,,
Babel Systems,https://www.crunchbase.com/organization/babel-systems,"Cyber Security, Financial Services, Security, Software, Trading Platform, Transaction Processing","London, England, United Kingdom","Babel Systems is a state of the art, securities processing platform for online trading providers.","136,048",2008-01-01,year,http://www.babelsys.co.uk/,info@babelsys.co.uk,3,11-50,,,,,,,,,,Private,,,,,,
Stratus Solutions,https://www.crunchbase.com/organization/stratus-solutions,Network Security,"Fulton, Maryland, United States",Stratus Solutions is a technology partner focused on cloud infrastructure and research that empowers purpose-led people to achieve more.,"139,063",2008-01-01,year,http://stratussolutions.com,,1,101-250,,,,,,,,,,Private,,,,,,0
Dasient,https://www.crunchbase.com/organization/dasient,"Cyber Security, Fraud Detection, Information Technology, Internet, Security, Web Browsers","Palo Alto, California, United States",Dasient is an internet security company protecting websites from web-based malware attacks that create web traffic.,"139,340",2008-01-01,year,http://www.dasient.com,info@dasient.com,55,1001-5000,2009-02-13,2000000,USD,2000000,2000000,USD,2000000,Seed,,Private,,,,,,
Dataresolve Technologies,https://www.crunchbase.com/organization/dataresolve-technologies,"Cyber Security, Hardware, Security, Software","Kolkata, West Bengal, India",Dataresolve Technologies develops software products for home users and businesses to secure their critical information.,"146,468",2008-08-01,day,http://www.dataresolve.com,info@dataresolve.com,,1-10,2011-01-06,,,,20000,USD,20000,Angel,,Private,,,,,,
The Native SA,https://www.crunchbase.com/organization/the-native-sa,"Blockchain, Information Technology","Lausanne, Vaud, Switzerland",The Native SA is the Swiss-listed international technology and media company.,"153,115",2008-01-01,year,http://thenative.ch/,,,,,,,,,,,,2003-06-27,Public,,,,NTIV,https://www.crunchbase.com/ipo/the-native-sa-ipo--01a8dfd7,
Blisslogix Technology Solutions Pvt Ltd,https://www.crunchbase.com/organization/blisslogix-technology-solutions-pvt-ltd,"Information Technology, iOS, Mobile Apps, Security","Chennai, Tamil Nadu, India",Blisslogix Technology Solutions Pvt Ltd develops mobile apps and other IT solutions.,"162,209",2008-01-01,year,http://www.blisslogix.com,,,101-250,,,,,,,,,,Private,,,,,,
UM Labs,https://www.crunchbase.com/organization/um-labs,"Cloud Security, Cyber Security, Internet of Things, National Security, Network Security, Operating Systems, Security, Video, VoIP, Wireless","London, England, United Kingdom","UM-Labs R&D provides Real-Time Communications Cyber Security UOS (Unicus) - running on any cloud, public, private and hybrid. Multi-Level.","174,465",2008-01-01,year,http://www.um-labs.com,marketing@um-labs.com,9,11-50,2009-01-01,6000000,USD,6000000,6000000,USD,6000000,Angel,,Private,,,,,,
Ninite,https://www.crunchbase.com/organization/ninite,"Security, Software, Virtualization","San Francisco, California, United States",Ninite is a service that enables users to automatically install applications for their operating systems.,"176,607",2008-11-01,day,http://ninite.com,contact@ninite.com,9,1-10,2008-11-25,,,,,,,Seed,,Private,,,,,,
Praxism,https://www.crunchbase.com/organization/praxism,"Consulting, Information Technology, Security","Edinburgh, Edinburgh, City of, United Kingdom",Praxism operates as a consultancy specialising in identity and access management.,"184,148",2008-01-01,year,http://www.praxism.com,,,11-50,,,,,,,,,,Private,,,,,,
Vana Workforce,https://www.crunchbase.com/organization/vana-workforce,"Human Resources, Network Security, Software","Burlington, Ontario, Canada",HR software for SMBs on Force.com,"187,576",2008-01-01,year,http://www.vanaworkforce.com,,2,11-50,2012-09-28,,,,,,,Seed,,Private,,,,,,
Totspot,https://www.crunchbase.com/organization/totspot,"Security, Video, Web Hosting","New York, New York, United States",Totspot allows users to create a private website about their child and share it with a select audience.,"187,787",2008-01-01,year,http://www.totspot.com,hello@totspot.com,6,1-10,,,,,,,,,,Private,,,,,,
MarkTend,https://www.crunchbase.com/organization/marktend,"Identity Management, Law Enforcement, Legal, SaaS","Sacramento, California, United States",MarkTend provides monitoring and calendaring systems for law firms.,"188,700",2008-04-01,day,http://www.MarkTend.com,mkassing@marktend.com,,11-50,2008-09-17,150000,USD,150000,150000,USD,150000,Seed,,Private,,,,,,
NitroDesk,https://www.crunchbase.com/organization/nitrodesk,"Email, Enterprise Software, Mobile Devices, Security, Software","Bellevue, Washington, United States","NitroDesk builds corporate productivity and secure Exchange ActiveSync solutions for Android, iOS, Windows 8 and Mac OS/X platforms.","192,454",2008-05-01,day,http://www.nitrodesk.com,sales@nitrodesk.com,11,1-10,,,,,,,,,,Private,,,,,,
Genieo Innovation,https://www.crunchbase.com/organization/genieo,"Ad Targeting, CRM, Internet, News, Personalization, Privacy, Web Design","Herzliya, Tel Aviv, Israel",Genieo Innovation provides a generic personalization framework for content and application providers.,"192,651",2008-04-01,day,http://www.genieo.com,info@genieo.com,6,11-50,2008-07-01,3000000,USD,3000000,3000000,USD,3000000,Seed,,Private,,,,,,4
Huawei Symantec,https://www.crunchbase.com/organization/huawei-symantec,"Information Technology, Network Security","Chengdu, Sichuan, China",Huawei Symantec is an Information Technology company.,"199,139",2008-02-01,month,,,7,,,,,,,,,,,Private,,,,,,
Accells Technologies,https://www.crunchbase.com/organization/accells-technologies,Security,"Petah Tiqva, HaMerkaz, Israel",A single service for authentication and identification on your mobile device.,"214,755",2008-01-01,year,http://accells.com/,info@accells.com,1,11-50,,,,,,,,,,Private,,,,,,
Inkubook,https://www.crunchbase.com/organization/inkubook,"Cloud Data Services, Cyber Security, Security","Indianapolis, Indiana, United States",Inkubook is an easy-to-use online personal photo book publishing service that enables people to make drop-dead gorgeous photo books in,"220,509",2008-01-01,year,http://inkubook.com,support@inkubook.com,,51-100,,,,,,,,,,Private,,,,,,
Jupiter Broadcasting,https://www.crunchbase.com/organization/jupiter-broadcasting,"Network Security, Software","Seattle, Washington, United States","Jupiter Broadcasting, a podcasting network covering Linux, security, privacy, community and other open source content.","234,151",2008-01-01,year,https://www.jupiterbroadcasting.com/,,,,,,,,,,,,,Private,,,,,,
FUTURITY FIRST Insurance Group,https://www.crunchbase.com/organization/futurity-first-insurance-group,"Finance, Insurance, Security","Middletown, Connecticut, United States","Futurity First is a nationwide network of wealth advisors, investment specialists.","239,120",2008-01-01,year,http://www.futurityfirst.com,,1,251-500,,,,,,,,,,Private,,,,,,
Eurogiro,https://www.crunchbase.com/organization/eurogiro,"Cryptocurrency, E-Commerce, Financial Services, Internet","Taastrup, Hovedstaden, Denmark","Eurogiro is a unique payments network that connects different payments ""ecosystems"", e.g. postal organisations, post banks.","248,134",2008-01-01,year,http://www.eurogiro.com/,eurogiro@eurogiro.com,1,11-50,,,,,,,,,,Private,,,,,,0
Atomkeep,https://www.crunchbase.com/organization/atomkeep,"Identity Management, Public Relations","Pasadena, California, United States",Atomkeep is a product of small hi-tech company that was founded in 2008.,"255,407",2008-01-01,year,http://www.atomkeep.com,alex@atomkeep.com,7,1-10,,,,,,,,,,Private,,,,,,
Provus,https://www.crunchbase.com/organization/provus,"Enterprise Software, FinTech, Security","Istanbul, Istanbul, Turkey","Provus provides printing, enveloping, and card personalization services for bank cards, POS and ATM operations in Turkey.","276,568",2008-01-01,year,http://provus.com.tr,,,101-250,,,,,,,,,,Private,,,,,,
Stay Secure,https://www.crunchbase.com/organization/stej-internet-services,"Security, Software","Stockholm, Stockholms Lan, Sweden",Stay Secure is one of the biggest email and web security cloud companies in the nordics.,"286,666",2008-01-01,year,http://www.staysec.com,,,,,,,,,,,,,Private,,,,,,
Funky Android,https://www.crunchbase.com/organization/funky-android,"Android, FinTech, Internet, Security, Software","Paddock Wood, Kent, United Kingdom",Funky Android provides consultancy and development services for companies aiming to develop Android solutions.,"292,555",2008-11-05,day,http://www.funkyandroid.com,contact@funkyandroid.com,8,1-10,2008-11-01,5000,GBP,8088,5000,GBP,8088,Seed,,Private,,,,,,
Auriga Consulting,https://www.crunchbase.com/organization/auriga-consulting,"Computer, Network Security","London, England, United Kingdom","Auriga Consulting is a center of excellence in Cyber Security, Assurance and Monitoring Services.","296,283",2008-01-01,year,https://www.aurigaconsulting.com/,contact@aurigaconsulting.com,,11-50,,,,,,,,,,Private,,,,,,
Strategic Security Partners,https://www.crunchbase.com/organization/strategic-security-partners,"Cyber Security, GPS, Video Streaming","Lancaster, Pennsylvania, United States",Cybersecurity Management Consulting,"302,183",2008-01-01,day,http://www.securitypartners.com,dealercare@macecs.com,,101-250,,,,,,,,,,Private,,,,,,
TrademarkFly,https://www.crunchbase.com/organization/trademarkfly,"B2B, Finance, FinTech, Identity Management, Intellectual Property, Law Enforcement, Legal, SaaS","Sacramento, California, United States",TrademarkFly delivers solutions in automatic calendaring and monitoring services for intellectual property portfolios of law firms and more.,"308,213",2008-01-10,day,http://trademarkfly.com,mkassing@trademarkfly.com,,1-10,2008-01-01,55000,USD,55000,55000,USD,55000,Seed,,Private,,,,,,
SmrtGuard Mobile Security,https://www.crunchbase.com/organization/smrtphone-solutions,Security,"Princeton, New Jersey, United States","SmrtGuard is a mobile security company that offers the most comprehensive suite of data, device, and personal protection services for","331,151",2008-07-01,day,http://www.smrtguard.com,support@smrtguard.com,,1-10,,,,,,,,,,Private,,,,,,
